일시,평균기온
2023-01-01,-0.9030818715618185
2023-01-02,-1.0190917794214052
2023-01-03,-1.1523421089488188
2023-01-04,-1.2321932489414849
2023-01-05,-1.2776839927111414
2023-01-06,-1.333705840079963
2023-01-07,-1.3044958955061912
2023-01-08,-1.3789481749418737
2023-01-09,-1.387070170831885
2023-01-10,-1.3975053384473526
2023-01-11,-1.3510792712328925
2023-01-12,-1.280010437580156
2023-01-13,-1.2421755068740854
2023-01-14,-1.152652071601759
2023-01-15,-1.207341021082632
2023-01-16,-1.2382595825975802
2023-01-17,-1.310609215735493
2023-01-18,-1.356649730180564
2023-01-19,-1.3959727526848926
2023-01-20,-1.4714036803854835
2023-01-21,-1.4825072661072785
2023-01-22,-1.6112047443322464
2023-01-23,-1.6787995918167695
2023-01-24,-1.744268966813678
2023-01-25,-1.7386898627665843
2023-01-26,-1.6853391764957468
2023-01-27,-1.634756861139513
2023-01-28,-1.4969082276081664
2023-01-29,-1.4651859430848884
2023-01-30,-1.3718131032604326
2023-01-31,-1.2847562571939122
2023-02-01,-1.1412161491929478
2023-02-02,-0.9673504896929384
2023-02-03,-0.8135339227342655
2023-02-04,-0.5872098661863632
2023-02-05,-0.4779141945942147
2023-02-06,-0.31382347007167866
2023-02-07,-0.15971814424236364
2023-02-08,0.04876103967172973
2023-02-09,0.2850373779356854
2023-02-10,0.49644451301318604
2023-02-11,0.7718992039104169
2023-02-12,0.9177028235119398
2023-02-13,1.1019480319677744
2023-02-14,1.2574491273664261
2023-02-15,1.4481423240031983
2023-02-16,1.6493021623406516
2023-02-17,1.8122582838077594
2023-02-18,2.0315403747406666
2023-02-19,2.1198518921127434
2023-02-20,2.251503335582184
2023-02-21,2.3644046081563292
2023-02-22,2.5257364839186724
2023-02-23,2.711781374461232
2023-02-24,2.8726667730607662
2023-02-25,3.099940461737976
2023-02-26,3.2022929255849366
2023-02-27,3.3499117553139808
2023-02-28,3.4773878246884884
2023-03-01,3.65011328999711
2023-03-02,3.8445053753931298
2023-03-03,4.0127249710893835
2023-03-04,4.249803731012454
2023-03-05,4.368571415266274
2023-03-06,4.543013952838864
2023-03-07,4.710171732856541
2023-03-08,4.935717869625023
2023-03-09,5.193723350220848
2023-03-10,5.4313914581231835
2023-03-11,5.73670602140767
2023-03-12,5.914324893858658
2023-03-13,6.130205023714282
2023-03-14,6.314863292513738
2023-03-15,6.530180435267436
2023-03-16,6.750035279529208
2023-03-17,6.925383567056644
2023-03-18,7.151640200325425
2023-03-19,7.24371047360224
2023-03-20,7.379271324747484
2023-03-21,7.500405446901533
2023-03-22,7.6787469248183955
2023-03-23,7.894688765156731
2023-03-24,8.101497756205223
2023-03-25,8.392355561318935
2023-03-26,8.575732725840076
2023-03-27,8.819647186600887
2023-03-28,9.054756881541367
2023-03-29,9.341212346790552
2023-03-30,9.649545211179573
2023-03-31,9.926167094324772
2023-04-01,10.261275439111786
2023-04-02,10.464436400202654
2023-04-03,10.708368795872879
2023-04-04,10.93096517838738
2023-04-05,11.200662396786587
2023-04-06,11.495693226350829
2023-04-07,11.768075803538114
2023-04-08,12.11039891840958
2023-04-09,12.330870052520186
2023-04-10,12.597248770411612
2023-04-11,12.839684815657371
2023-04-12,13.117443334115531
2023-04-13,13.399826573258128
2023-04-14,13.631870734054864
2023-04-15,13.902587988921594
2023-04-16,14.020970204133333
2023-04-17,14.160205864863697
2023-04-18,14.26006622732044
2023-04-19,14.392498401553295
2023-04-20,14.540899953946433
2023-04-21,14.663902276495692
2023-04-22,14.861724499475596
2023-04-23,14.95060248166931
2023-04-24,15.105982595545541
2023-04-25,15.264587265951414
2023-04-26,15.490430675373895
2023-04-27,15.755184924193433
2023-04-28,16.003548479351075
2023-04-29,16.321432158098418
2023-04-30,16.51219040918991
2023-05-01,16.741325397845063
2023-05-02,16.939564449171183
2023-05-03,17.16926960724238
2023-05-04,17.404562438301667
2023-05-05,17.595899573789904
2023-05-06,17.837080390750778
2023-05-07,17.94013180714496
2023-05-08,18.078727177674544
2023-05-09,18.190242254076296
2023-05-10,18.341549207795772
2023-05-11,18.508992583596413
2023-05-12,18.64325570879738
2023-05-13,18.83699382110747
2023-05-14,18.900518754423747
2023-05-15,19.006009296005747
2023-05-16,19.090179923985854
2023-05-17,19.220383254443426
2023-05-18,19.374531826247534
2023-05-19,19.505566638381023
2023-05-20,19.708439702504325
2023-05-21,19.795039922990807
2023-05-22,19.937705685793937
2023-05-23,20.07141759165239
2023-05-24,20.25976706409515
2023-05-25,20.475142219850746
2023-05-26,20.66383723484757
2023-05-27,20.913956426436016
2023-05-28,21.031387664154842
2023-05-29,21.184302620036842
2023-05-30,21.30609410608017
2023-05-31,21.461699818492928
2023-06-01,21.62767234414087
2023-06-02,21.756701894256395
2023-06-03,21.944547386958735
2023-06-04,22.004806286165703
2023-06-05,22.112181962109673
2023-06-06,22.204370846454026
2023-06-07,22.34770409899168
2023-06-08,22.517028919496212
2023-06-09,22.660577576095694
2023-06-10,22.86772845729315
2023-06-11,22.944952280932764
2023-06-12,23.060401237959645
2023-06-13,23.147032546363263
2023-06-14,23.269180346961505
2023-06-15,23.402889176936785
2023-06-16,23.500665199135554
2023-06-17,23.65855539652049
2023-06-18,23.690952694604544
2023-06-19,23.773772526820814
2023-06-20,23.846132266648553
2023-06-21,23.97569929720612
2023-06-22,24.138241528593245
2023-06-23,24.282187238603946
2023-06-24,24.49615790115231
